animal,sire,dam,generation,sex
2057,330,470,2,1
2058,330,476,2,0
2060,330,476,2,0
2061,330,470,2,1
2064,328,493,2,0
2065,311,482,2,1
2066,328,493,2,0
2067,311,482,2,1
2069,311,482,2,1
2071,311,489,2,1
2072,328,493,2,0
2073,311,489,2,1
2074,328,493,2,0
2076,328,493,2,0
2077,331,478,2,1
2078,330,313,2,0
2079,331,478,2,1
2080,330,313,2,0
2081,331,478,2,1
2083,331,478,2,1
2085,331,478,2,1
2086,330,485,2,0
2087,331,478,2,1
2088,330,485,2,0
2090,326,470,2,0
2091,331,478,2,1
2092,326,470,2,0
2094,326,470,2,0
2095,331,325,2,1
2099,330,301,2,1
2100,326,470,2,0
2101,330,301,2,1
2102,328,318,2,0
2103,330,301,2,1
2104,328,318,2,0
2105,330,301,2,1
2106,328,318,2,0
2107,330,301,2,1
2108,326,489,2,0
2109,330,301,2,1
2110,326,489,2,0
2112,326,489,2,0
2113,331,484,2,1
2114,328,460,2,0
2115,331,484,2,1
2116,328,460,2,0
2117,331,484,2,1
2118,328,460,2,0
2119,330,471,2,1
2120,328,460,2,0
2121,330,471,2,1
2122,328,460,2,0
2123,330,471,2,1
2124,328,472,2,0
2125,330,471,2,1
2126,328,312,2,0
2127,330,471,2,1
2128,328,472,2,0
2130,328,472,2,0
2131,328,312,2,1
2132,328,472,2,0
2133,328,312,2,1
2135,328,312,2,1
2136,328,491,2,0
2137,328,312,2,1
2139,328,312,2,1
2140,328,319,2,0
2141,330,315,2,1
2142,328,319,2,0
2143,330,315,2,1
2145,330,315,2,1
2147,330,315,2,1
2148,326,303,2,0
2149,330,315,2,1
2150,326,303,2,0
2151,330,315,2,1
2152,328,478,2,0
2153,330,315,2,1
2154,328,478,2,0
2155,330,316,2,1
2156,328,478,2,1
2157,330,316,2,1
2159,330,316,2,1
2160,326,325,2,0
2161,330,316,2,1
2162,326,325,2,0
2163,330,316,2,1
2164,326,325,2,0
2165,330,316,2,1
2166,326,325,2,0
2167,330,316,2,1
2168,326,325,2,0
2171,330,494,2,1
2172,326,456,2,0
2179,328,468,2,1
2181,328,468,2,1
2182,326,456,2,0
2183,328,468,2,1
2184,326,456,2,0
2185,330,476,2,1
2186,311,160,2,0
2187,330,476,2,1
2191,328,493,2,1
2192,311,160,2,0
2193,328,493,2,1
2194,311,160,2,0
2195,328,493,2,1
2197,328,493,2,1
2199,330,313,2,1
2201,330,313,2,1
2203,330,313,2,1
2207,330,313,2,1
2209,330,485,2,1
2211,330,485,2,1
2213,330,485,2,1
2217,330,485,2,1
2219,330,485,2,1
2221,326,470,2,1
2223,326,470,2,1
2225,326,470,2,1
2227,326,470,2,1
2229,326,470,2,1
2231,326,470,2,1
2239,328,318,2,1
2241,328,318,2,1
2243,326,489,2,1
2245,326,489,2,1
2247,326,489,2,1
2249,328,460,2,1
2253,328,460,2,1
2255,328,460,2,1
2259,328,460,2,1
2261,328,460,2,1
2263,328,460,2,1
2269,328,472,2,1
2273,328,472,2,1
2277,328,491,2,1
2279,328,491,2,1
2281,328,491,2,1
2285,328,319,2,1
2287,326,303,2,1
2289,326,303,2,1
2297,328,478,2,1
2301,328,478,2,1
2303,328,478,2,1
2305,328,478,2,1
2311,326,325,2,1
2315,326,325,2,1
2317,326,325,2,1
2323,326,456,2,1
2325,326,456,2,1
2327,311,160,2,1
2329,311,160,2,1
2333,311,160,2,1
