"ID"	"wt_birth"	"car_wt"	"num_ribs"	"car_bf10"	"car_lma"	"sex"	"perc_duroc"	"sire"	"dam"	"litter"	"slgdt_cd"
"160"	1181	1.54	81.18	NA	21.59	41.94	"M"	0.49833259327537	311	473	19	4
"161"	1182	1.45	87.98	NA	25.4	40.32	"F"	0.458890598742906	335	317	26	6
"162"	1184	1.91	77.1	NA	10.16	44.19	"F"	0.445871178246429	335	317	26	4
"163"	1185	1.45	92.97	NA	30.48	39.35	"M"	0.474790219802883	335	472	20	4
"164"	1186	1.91	78	NA	17.78	44.19	"F"	0.438968040080234	335	317	26	4
"165"	1188	1.68	73.92	NA	11.43	44.52	"F"	0.494028356899593	335	317	26	4
"166"	1189	1.72	92.06	NA	30.48	47.1	"M"	0.432290319482713	326	456	21	6
"167"	1190	1.72	77.55	NA	15.24	52.26	"F"	0.434698291996816	335	317	26	6
"168"	1191	2.13	77.1	NA	21.59	38.39	"M"	0.503011122521116	326	456	21	4
"169"	1192	1.45	68.71	NA	20.32	42.26	"F"	0.496555014051604	330	460	27	7
"170"	1193	1.36	84.81	NA	30.48	38.71	"M"	0.48748298190636	311	480	22	4
"171"	1194	1.63	73.92	NA	20.32	43.55	"F"	0.534763712431488	330	460	27	7
"172"	1195	0.82	81.18	NA	27.94	38.71	"M"	0.497576284546058	311	480	22	6
"173"	1196	1.5	82.09	NA	22.86	42.9	"F"	0.591901027932624	330	460	27	8
"174"	1197	0.95	76.64	NA	38.1	44.84	"M"	0.532922909782646	311	480	22	5
"175"	1199	1.77	81.86	NA	30.48	36.45	"M"	0.445053928641228	311	480	22	5
"176"	1201	1.54	76.19	NA	15.24	40.32	"M"	0.57610476375129	335	479	23	4
"177"	1202	1.45	78	NA	22.86	38.06	"F"	0.364080471726355	335	318	28	8
"178"	1203	1.41	78.46	NA	17.78	37.1	"M"	0.5274076817768	335	479	23	6
"179"	1205	1.81	82.99	NA	15.24	40.32	"M"	0.39846568022493	335	479	23	5
"180"	1206	2.04	80.27	NA	15.24	43.87	"F"	0.495938033182534	335	483	29	9
"181"	1207	1.45	76.42	NA	22.86	37.1	"M"	0.352646865027083	335	479	23	5
"182"	1208	1.95	89.8	NA	20.32	42.26	"F"	0.468349977867363	335	483	29	8
"183"	1209	1.36	62.59	NA	17.78	35.81	"M"	0.517982994301429	335	479	23	6
"184"	1210	1.81	78.91	NA	17.78	40.32	"F"	0.449812673719199	335	483	29	8
"185"	1211	1.27	80.27	NA	27.94	30.32	"M"	0.524526449160272	335	477	24	4
"186"	1212	1.77	80.73	NA	15.24	41.61	"F"	0.459204030215362	335	483	29	9
"187"	1213	1.45	85.27	NA	22.86	41.93	"M"	0.803215311880924	335	474	25	NA
"188"	1214	1.91	80.27	NA	15.24	43.87	"F"	0.48603595278949	335	483	29	9
"189"	1216	1.32	79.82	NA	25.4	37.74	"F"	0.524455157979798	331	471	30	8
"190"	1217	1.49	82.1	NA	25.4	37.09	"M"	0.827168170209694	335	474	25	NA
"191"	1218	2.09	78.91	NA	29.21	31.29	"F"	0.492956996114122	331	471	30	8
"192"	1220	1.45	73.92	NA	15.24	37.42	"F"	0.437775827952614	331	471	30	9
"193"	1221	1.59	84.81	NA	17.78	42.9	"M"	0.611003015681462	335	317	26	6
"194"	1222	1.36	77.55	NA	17.78	32.58	"F"	0.500043000567514	331	471	30	8
"195"	1223	1.54	82.54	NA	22.86	45.16	"M"	0.417831416791243	335	317	26	6
"196"	1224	1.13	76.64	NA	26.67	32.9	"F"	0.509889793563657	331	471	30	8
"197"	1225	1.68	85.71	NA	33.02	36.77	"M"	0.484835304712548	335	317	26	4
"198"	1226	1.77	82.99	NA	29.21	39.35	"F"	0.510026010724704	331	320	31	8
"199"	1227	1.45	75.28	NA	24.13	38.39	"M"	0.51309506433268	330	460	27	8
"200"	1228	1.36	85.26	NA	25.4	43.87	"F"	0.451558639653678	331	320	31	8
"201"	1229	1.54	86.17	NA	33.02	42.26	"M"	0.505614139520135	330	460	27	8
"202"	1232	1.36	79.82	NA	16.51	45.81	"F"	0.466457261188291	335	325	32	9
"203"	1233	1.22	82.99	NA	22.86	44.19	"M"	0.570302943192982	330	460	27	8
"204"	1234	1.36	73.47	NA	13.97	39.35	"F"	0.504658060314275	335	325	32	9
"205"	1235	1.18	82.09	NA	21.59	41.29	"M"	0.464447341490816	330	460	27	8
"206"	1236	1.59	83.9	NA	15.24	48.71	"F"	0.506516265854259	335	325	32	9
"207"	1237	1.59	74.83	NA	31.75	34.84	"M"	0.525189033094536	330	460	27	7
"208"	1239	1.95	84.58	NA	33.02	43.87	"M"	0.427005390104655	330	460	27	7
"209"	1240	1.27	70.52	NA	19.05	40	"F"	0.483528858815671	335	325	32	7
