ID,wt_birth,car_wt,num_ribs,car_bf10,car_lma,sex,perc_duroc,sire,dam,litter,slgdt_cd
1328,1.63,72.11,15,15.24,37.74,F,0.499533839861823,311,467,45,12
1329,1.81,82.09,NA,22.86,37.42,M,0.474455445609374,331,322,43,8
1331,1.36,65.76,NA,15.24,31.61,M,0.472107088917941,331,322,43,8
1333,1.04,80.73,NA,43.18,32.9,M,NA,331,322,43,8
1334,1.09,87.07,15,22.86,49.68,F,0.522742727364679,311,467,45,12
1335,1.22,80.73,NA,26.67,36.77,M,0.49906078936087,331,322,43,9
1337,1.04,76.64,NA,33.02,34.19,M,0.572803891108485,331,322,43,8
1338,1.27,83.9,15,20.32,46.45,F,0.511814014586937,311,467,45,12
1339,1.36,76.19,13,27.94,42.58,M,0.474254561977474,311,467,45,10
1342,0.82,74.83,15,20.32,41.61,F,0.455509797736223,311,467,45,12
1343,1.41,83.9,15,25.4,44.19,M,0.539633598985078,311,467,45,12
1344,1.81,79.37,15,19.05,45.16,F,0.46141458450905,335,312,44,12
1345,1.68,77.1,13,15.24,49.03,M,0.494852102132755,311,467,45,10
1346,1.95,87.98,15,27.94,44.19,F,0.45335023782386,335,494,46,12
1347,1.72,85.71,13,45.72,39.35,M,0.518966306417611,311,467,45,10
1350,1.59,76.19,12,20.32,42.9,F,0.542486980651401,335,494,46,10
1354,1.59,75.28,13,16.51,39.68,F,0.481893848158125,335,323,47,10
1356,1.45,73.02,15,15.24,40.32,F,0.442918523012794,335,323,47,12
1359,1.77,91.61,15,22.86,43.23,M,0.518053488862018,335,312,44,12
1360,1.41,87.98,15,27.94,36.45,F,0.468429479535264,335,323,47,12
1362,1.5,74.38,15,12.7,47.42,F,0.51478120282715,335,323,47,12
1363,1.91,76.64,14,17.78,38.39,M,0.522690101651992,335,494,46,10
1364,1.54,78.91,16,17.78,43.55,F,0.512904993627437,335,323,47,12
1365,1.72,81.63,13,27.94,29.03,M,0.518738159765683,335,494,46,10
1366,1.36,76.19,15,17.78,42.58,F,0.485867796564615,335,316,48,12
1367,1.59,80.73,13,27.94,38.71,M,0.491067744767563,335,323,47,10
1368,1.27,82.54,15,21.59,41.61,F,0.54111084702718,335,316,48,12
1369,1.45,73.92,12,21.59,33.23,M,0.550298897862152,335,323,47,10
1372,1.5,72.56,13,25.4,33.23,F,0.533370325500287,335,316,48,10
1373,1.09,74.83,13,20.32,37.1,M,0.460596032578522,335,316,48,10
1374,1.54,87.07,15,22.86,43.87,F,0.44092063479641,335,316,48,12
1377,1.13,76.19,15,20.32,40.65,M,0.418471010529777,335,316,48,12
1380,1.45,77.1,16,13.97,40.97,F,0.3882078864835,335,315,49,12
1381,1.59,76.64,12,24.13,34.52,M,0.567155198384604,335,315,49,10
1382,1.91,72.11,13,12.7,39.35,F,0.508228913752908,335,315,49,10
1383,1.27,88.44,15,24.13,45.81,M,0.454257410048891,335,315,49,12
1384,1.59,75.74,16,16.51,41.29,F,0.55811878180428,335,315,49,12
1385,1.63,76.64,15,24.13,32.58,M,0.491288215553477,335,315,49,12
1386,1.41,78.46,14,17.78,44.19,F,0.558718038494154,335,315,49,12
1388,1.86,76.64,12,19.05,39.68,F,0.479976601121199,311,495,50,10
